image_name,person_id,is_test,label,split
000001.jpg,2880,0,243,train
000002.jpg,2937,0,248,train
000007.jpg,9040,0,676,train
000010.jpg,612,0,63,train
000012.jpg,7779,0,629,train
000019.jpg,2929,0,246,train
000025.jpg,7578,0,625,train
000034.jpg,1603,0,137,train
000035.jpg,5512,0,482,train
000038.jpg,4407,0,382,train
000041.jpg,1058,0,95,train
000043.jpg,5239,0,457,train
000050.jpg,1058,0,95,train
000051.jpg,1446,0,124,train
000058.jpg,2879,0,242,train
000065.jpg,3046,0,260,train
000073.jpg,7880,0,632,train
000089.jpg,5472,0,478,train
000115.jpg,6802,0,590,train
000134.jpg,5609,0,492,train
000160.jpg,1435,0,123,train
000162.jpg,3055,0,263,train
000168.jpg,2463,0,215,train
000201.jpg,3298,0,283,train
000205.jpg,4811,0,413,train
000212.jpg,6718,0,587,train
000214.jpg,6376,0,553,train
000235.jpg,4231,0,368,train
000256.jpg,2175,0,187,train
000258.jpg,5489,0,481,train
000263.jpg,3118,0,268,train
000289.jpg,2150,0,183,train
000292.jpg,290,0,24,train
000303.jpg,2249,0,199,train
000323.jpg,3875,0,335,train
000328.jpg,6351,0,549,train
000354.jpg,5611,0,493,train
000357.jpg,654,0,67,train
000372.jpg,4150,0,362,train
000388.jpg,5406,0,474,train
000391.jpg,587,0,61,train
000404.jpg,2880,0,243,train
000442.jpg,2063,0,173,train
000443.jpg,769,0,78,train
000471.jpg,384,0,40,train
000478.jpg,4876,0,417,train
000494.jpg,5795,0,508,train
000504.jpg,2857,0,236,train
000506.jpg,4446,0,387,train
000519.jpg,731,0,76,train
000543.jpg,4947,0,425,train
000549.jpg,5046,0,439,train
000557.jpg,658,0,70,train
000566.jpg,311,0,29,train
000594.jpg,7009,0,599,train
000599.jpg,6691,0,583,train
000614.jpg,3055,0,263,train
000617.jpg,9074,0,678,train
000631.jpg,5235,0,456,train
000641.jpg,3473,0,301,train
000648.jpg,1565,0,133,train
000651.jpg,6718,0,587,train
000656.jpg,3279,0,280,train
000664.jpg,334,0,34,train
000665.jpg,3148,0,270,train
000669.jpg,3436,0,296,train
000681.jpg,2275,0,202,train
000689.jpg,4947,0,425,train
000702.jpg,614,0,64,train
000717.jpg,6286,0,543,train
000734.jpg,1960,0,163,train
000737.jpg,240,0,19,train
000747.jpg,2518,0,218,train
000757.jpg,1062,0,97,train
000762.jpg,3636,0,313,train
000774.jpg,1156,0,102,train
000787.jpg,710,0,73,train
000802.jpg,3788,0,326,train
000812.jpg,658,0,70,train
000814.jpg,3357,0,290,train
000824.jpg,6162,0,532,train
000849.jpg,2250,0,200,train
000860.jpg,3404,0,293,train
000875.jpg,7380,0,615,train
000877.jpg,475,0,54,train
000890.jpg,1137,0,101,train
000896.jpg,475,0,54,train
000908.jpg,4236,0,369,train
000945.jpg,103,0,12,train
000961.jpg,1960,0,163,train
000966.jpg,6753,0,588,train
000967.jpg,1579,0,136,train
000999.jpg,3823,0,329,train
001001.jpg,2231,0,193,train
001005.jpg,1726,0,147,train
001020.jpg,4532,0,392,train
001024.jpg,961,0,89,train
001036.jpg,6802,0,590,train
001045.jpg,4150,0,362,train
001064.jpg,3031,0,259,train
001086.jpg,3338,0,288,train
001097.jpg,3522,0,305,train
001103.jpg,4292,0,373,train
001116.jpg,2965,0,254,train
001148.jpg,303,0,28,train
001174.jpg,2238,0,195,train
001181.jpg,359,0,36,train
001195.jpg,1614,0,140,train
001198.jpg,5321,0,463,train
001230.jpg,10115,0,695,train
001236.jpg,6532,0,566,train
001247.jpg,1947,0,161,train
001262.jpg,3031,0,259,train
001269.jpg,3835,0,331,train
001270.jpg,1446,0,124,train
001277.jpg,1289,0,109,train
001279.jpg,4610,0,399,train
001293.jpg,576,0,60,train
001294.jpg,6394,0,554,train
001323.jpg,1525,0,131,train
001342.jpg,1633,0,142,train
001359.jpg,2235,0,194,train
001366.jpg,2954,0,250,train
001379.jpg,2861,0,238,train
001392.jpg,5729,0,501,train
001395.jpg,311,0,29,train
001396.jpg,2213,0,192,train
001399.jpg,3017,0,258,train
001409.jpg,5018,0,434,train
001410.jpg,5866,0,513,train
001422.jpg,961,0,89,train
001423.jpg,2275,0,202,train
001424.jpg,4955,0,427,train
001437.jpg,3421,0,294,train
001451.jpg,4913,0,421,train
001460.jpg,5672,0,496,train
001472.jpg,1984,0,166,train
001475.jpg,587,0,61,train
001486.jpg,2863,0,239,train
001493.jpg,417,0,48,train
001494.jpg,2235,0,194,train
001500.jpg,4027,0,346,train
001508.jpg,7337,0,610,train
001521.jpg,414,0,47,train
001532.jpg,6280,0,542,train
001553.jpg,2820,0,234,train
001558.jpg,4610,0,399,train
001563.jpg,8134,0,642,train
001592.jpg,647,0,66,train
001595.jpg,961,0,89,train
001618.jpg,7338,0,611,train
001624.jpg,4058,0,353,train
001631.jpg,4692,0,406,train
001634.jpg,1349,0,115,train
001638.jpg,2086,0,178,train
001644.jpg,69,0,9,train
001651.jpg,7413,0,619,train
001658.jpg,6614,0,572,train
001661.jpg,6806,0,591,train
001664.jpg,4433,0,385,train
001668.jpg,612,0,63,train
001682.jpg,3528,0,306,train
001693.jpg,2425,0,213,train
001697.jpg,7363,0,613,train
001699.jpg,4724,0,409,train
001714.jpg,5703,0,499,train
001737.jpg,2006,0,171,train
001744.jpg,3081,0,267,train
001748.jpg,5243,0,458,train
001749.jpg,2334,0,208,train
001760.jpg,8943,0,674,train
001763.jpg,4256,0,371,train
001767.jpg,4612,0,400,train
001785.jpg,476,0,55,train
001793.jpg,2086,0,178,train
001802.jpg,5046,0,439,train
001810.jpg,7755,0,628,train
001817.jpg,5025,0,436,train
001862.jpg,8288,0,645,train
001866.jpg,3823,0,329,train
001891.jpg,130,0,14,train
001923.jpg,1996,0,170,train
001931.jpg,471,0,53,train
001935.jpg,6479,0,562,train
001952.jpg,7940,0,634,train
001958.jpg,2443,0,214,train
001974.jpg,4652,0,403,train
001976.jpg,4744,0,411,train
001978.jpg,2813,0,232,train
001980.jpg,2996,0,255,train
001983.jpg,924,0,87,train
001985.jpg,2511,0,217,train
001988.jpg,6562,0,569,train
002018.jpg,4814,0,414,train
002019.jpg,2443,0,214,train
002024.jpg,8460,0,653,train
002025.jpg,5088,0,440,train
002028.jpg,7475,0,623,train
002057.jpg,4048,0,351,train
002064.jpg,904,0,86,train
002071.jpg,6165,0,533,train
002082.jpg,4124,0,357,train
002086.jpg,2857,0,236,train
002091.jpg,2201,0,190,train
002102.jpg,706,0,72,train
002114.jpg,9592,0,684,train
002117.jpg,6509,0,564,train
002129.jpg,6181,0,536,train
002133.jpg,5122,0,443,train
002146.jpg,5758,0,505,train
002154.jpg,7428,0,622,train
002159.jpg,5734,0,503,train
002165.jpg,4138,0,360,train
002176.jpg,4051,0,352,train
002178.jpg,4985,0,432,train
002192.jpg,3708,0,318,train
002206.jpg,3908,0,337,train
002233.jpg,2158,0,185,train
002240.jpg,6681,0,579,train
002241.jpg,5093,0,441,train
002242.jpg,4594,0,397,train
002256.jpg,3638,0,314,train
002278.jpg,6354,0,550,train
002279.jpg,3745,0,320,train
002285.jpg,2235,0,194,train
002300.jpg,10163,0,697,train
002306.jpg,3962,0,343,train
002322.jpg,1339,0,113,train
002341.jpg,1446,0,124,train
002342.jpg,6065,0,523,train
002353.jpg,4138,0,360,train
002360.jpg,5264,0,459,train
002364.jpg,2304,0,203,train
002390.jpg,6351,0,549,train
002420.jpg,2253,0,201,train
002438.jpg,66,0,8,train
002443.jpg,5416,0,475,train
002444.jpg,1648,0,144,train
002448.jpg,9794,0,687,train
002479.jpg,9115,0,679,train
002486.jpg,12,0,0,train
002493.jpg,4549,0,394,train
002504.jpg,2813,0,232,train
002519.jpg,1245,0,105,train
002524.jpg,290,0,24,train
002538.jpg,4292,0,373,train
002558.jpg,2820,0,234,train
002572.jpg,7755,0,628,train
002601.jpg,2114,0,180,train
002604.jpg,5391,0,473,train
002606.jpg,1951,0,162,train
002608.jpg,8742,0,665,train
002614.jpg,9693,0,686,train
002618.jpg,4539,0,393,train
002660.jpg,8368,0,648,train
002661.jpg,2176,0,188,train
002662.jpg,5489,0,481,train
002671.jpg,2571,0,222,train
002673.jpg,1844,0,155,train
002676.jpg,4913,0,421,train
002681.jpg,4315,0,377,train
002686.jpg,5088,0,440,train
002691.jpg,4647,0,402,train
002703.jpg,3229,0,277,train
002709.jpg,290,0,24,train
002711.jpg,417,0,48,train
002716.jpg,6308,0,545,train
002722.jpg,863,0,84,train
002733.jpg,47,0,4,train
002766.jpg,47,0,4,train
002774.jpg,9013,0,675,train
002779.jpg,4256,0,371,train
002792.jpg,5489,0,481,train
002803.jpg,1871,0,157,train
002833.jpg,6161,0,531,train
002834.jpg,8935,0,673,train
002843.jpg,6182,0,537,train
002848.jpg,2306,0,204,train
002856.jpg,7428,0,622,train
002857.jpg,6065,0,523,train
002858.jpg,6394,0,554,train
002859.jpg,2425,0,213,train
002882.jpg,2954,0,250,train
002895.jpg,5042,0,438,train
002923.jpg,2537,0,220,train
002928.jpg,6065,0,523,train
002935.jpg,2571,0,222,train
002937.jpg,8368,0,648,train
002952.jpg,2235,0,194,train
002954.jpg,1050,0,94,train
002967.jpg,9842,0,689,train
002986.jpg,5537,0,486,train
002995.jpg,4549,0,394,train
003004.jpg,1747,0,149,train
003018.jpg,6181,0,536,train
003025.jpg,5353,0,470,train
